id,주종,중분류,상품명,생산국가,생산자,주요품종,도수,음용온도,추천음식,당도,바디,산도,타닌
36,wine,레드,"라 셰또, 장 발몽 메를로",프랑스,라셰또 [라세또] Lacheteau [La Cheteau],메를로 (Merlot) 100%,13.0,16~18 ℃,"안심 스테이크, 타임 허브 등으로 맛을 낸 토끼요리, 송아지 찜 요리, 치즈 등과 잘 어울린다.",1,3,4,3
37,wine,레드,라몬 빌바오 그랑 리제르바,스페인,라몬 빌바오 Ramon Bilbao,"템프라니요 (Tempranillo) 90%, 그라시아노 (Graciano) 5%, 가르나차 (Garnacha) 5%",14.0,16~18 ℃,"붉은 고기, 숙성 치즈, 바비큐, 야생 고기 등과 잘 어울린다.",1,3,4,3
38,wine,화이트,"라스트 스탠드, 샤도네이",호주,더 라스트 스탠드 와와너리 The last stand Winery,샤르도네 (Chardonnay),13.0,8~10 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",1,3,3,1
39,wine,레드,"라스트 스탠드, 쉬라즈",호주,더 라스트 스탠드 와와너리 The last stand Winery,시라/쉬라즈 (Syrah/Shiraz),14.0,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",1,3,4,4
40,wine,레드,"라운드 폰드, 러더포드 카베르네 소비뇽",미국,라운드 폰드 에스테이트 Round Pond Estate,"카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 베르도 (Petit Verdot) , 말벡 (Malbec) , 메를로 (Merlot)",14.6,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",1,3,4,3
41,wine,화이트,"로까 세리나, 모스카토 다스티",이탈리아,로카 세리나 Rocca Cerrina,모스카토 (Moscato ) 100%,6.0,8~10 ℃,식후에 디저트와 함께 또는 과일(특히 과일 셀러드)과 완벽한 조화를 이룸. 또한 아이스크림 또는 친구들과 대화의 매개체로서 안주 없이 와인 그 자체만 마셔도 좋다.,4,2,2,1
42,wine,레드,"로멘 뒤베르네, 꼬드 뒤 론 비에이 비뉴",프랑스,로멘 뒤베르네 Romain Duvernay,"그르나슈 (Grenache) 85%, 시라/쉬라즈 (Syrah/Shiraz) 15%",13.5,16~18 ℃,"안심 스테이크, 바비큐 폭립, 송아지와 폴렌타, 통감자 구이와 잘 어울린다.",1,2,4,4
43,wine,레드,"루이 라뚜르, 알록스 꼬르똥",프랑스,루이 라뚜르 Louis Latour,피노 누아 (Pinot Noir) 100%,13.5,15~17 ℃,"각종 육류요리, 버섯요리, 양고기 등과 잘 어울린다.",1,5,3,2
44,wine,레드,"루트 코즈, 레드 와인",미국,루트 코즈 와이너리 Root Cause Winery,"메를로 (Merlot) , 진판델 (Zinfandel) , 쁘띠 베르도 (Petit Verdot) , 시라/쉬라즈 (Syrah/Shiraz)",13.0,16~18 ℃,None,1,3,4,4
45,wine,화이트,"루트 코즈, 샤도네이",미국,루트 코즈 와이너리 Root Cause Winery,샤르도네 (Chardonnay),13.0,10~12 ℃,None,1,3,3,1
46,wine,레드,"루트 코즈, 카베르네 소비뇽",미국,루트 코즈 와이너리 Root Cause Winery,카베르네 소비뇽 (Cabernet Sauvignon),13.0,16~18 ℃,None,1,3,4,3
47,wine,스파클링,"뤼나르, 브뤼",프랑스,뤼나르 Ruinart,"피노 누아 (Pinot Noir) , 샤르도네 (Chardonnay) , 피노 뮈니에 (Pinot Meunier)",12.0,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",1,5,3,1
48,wine,레드,"르네 부비에, 부르고뉴 루즈 '몽트르 뀔'",프랑스,르네 부비에 Domaine Rene Bouvier,피노 누아 (Pinot Noir) 100%,12.5,15~17 ℃,"붉은육류, 로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",1,4,3,3
49,wine,레드,"리베토, 바롤로 세라룽가 달바",이탈리아,리베토 Rivetto,네비올로 (Nebbiolo) 100%,14.5,16~18 ℃,"트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",1,4,4,4
50,wine,기타,"리빙스톤, 상그리아",미국,리빙스톤 Livingstone,블렌드 (Blend ),10.0,6~8 ℃,파티에서의 바비큐 요리와 강한 소스를 감미한 해산물 요리와 완벽한 조화를 이룬다.,3,2,2,1
51,wine,레드,"마라미에로, 인페리",이탈리아,마라미에로 Marramiero,몬테풀치아노 (Montepulciano) 100%,14.0,17~19 ℃,"마늘과 올리브로 요리한 양고기, 허브가 가미된 리코타 라비올리 등과 잘 어울린다.",1,3,4,4
52,wine,화이트,마레농 그랑 마레농 블랑,프랑스,마레농 Marrenon [Cellier de Marrenon],"그르나슈 블랑 (Grenache Blanc) , 베르멘티노 (Vermentino) , 루산느 (Roussanne)",14.0,10~12 ℃,"치킨, 바비큐, 연어, 참치, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",1,3,3,1
53,wine,레드,"마샹 따스, 뽀마르 레 비노",프랑스,막상 따스 Marchand Tawse,피노 누아 (Pinot Noir),13.0,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",1,4,3,3
54,wine,레드,"마이클 몬다비 패밀리, 엠블렘 나파 카베르네 소비뇽",미국,마이클 몬다비 패밀리 Michael Mondavi Family,"카베르네 소비뇽 (Cabernet Sauvignon) 90%, 쁘띠 베르도 (Petit Verdot) 5%, 쁘띠 쉬라 (Petit Syrah) 5%",14.0,16~18 ℃,"그릴에 구운 채끝 스테이크, 라구 파스타 등과 잘 어울린다.",1,3,4,5
55,wine,레드,"막상 따스, 본 로마네",프랑스,막상 따스 Marchand Tawse,피노 누아 (Pinot Noir) 100%,13.5,14~16 ℃,"오리고기, 치즈 등과 잘 어울린다.",1,4,3,2
56,wine,레드,"맥매니스, 노스 포티 레드 블렌드",미국,맥매니스 와이너리 McManis Winery,"쁘띠 시라 (Petite Sirah) 27%, 쁘띠 베르도 (Petit Verdot) 25%, 테롤데고 (Teroldego) 25%, 따나 (Tannat) 23%",13.0,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",1,3,3,4
57,wine,화이트,"메르 솔레이, 리저브 샤도네이",미국,케이머스 빈야드 Caymus Vineyards,샤르도네 (Chardonnay) 100%,14.5,10~12 ℃,"연어 스테이크, 도가니탕, 떡국, 피자 등과 잘 어울린다.",1,3,4,1
58,wine,화이트,"메종 카스텔, 세리 리미떼 꽁드리유",프랑스,메종 카스텔 Maison Castel,비오니에 (Viognier) 100%,14.0,8~10 ℃,적양파를 곁들인 양고기로 만든 스튜인 타진 요리 외 샤퀴트리 또는 그릴 고기 요리와 잘 어울린다.,1,3,1,1
59,wine,스파클링,"메종 카스텔, 크레망 드 보르도 브뤼",프랑스,메종 카스텔 Maison Castel,"세미용 (Semillon) , 카베르네 프랑 (Cabernet Franc)",5.0,6~8 ℃,"생강 쿠키를 곁들인 푸아그라 요리, 가금류 요리, 백색육어류 요리와 잘 어울린다.",1,3,1,1
60,wine,로제,"모란데, 피오네로 로제",칠레,비냐 모란데 Viña Morande,"카베르네 소비뇽 (Cabernet Sauvignon) , 시라/쉬라즈 (Syrah/Shiraz)",12.0,11~13 ℃,"비빔밥, 피자, 돼지고기 요리나 매콤한 아시아 푸드와도 잘 어울린다.",2,3,3,1
61,wine,레드,"몰리두커, 벨벳 글로브",호주,몰리두커 Mollydooker,시라/쉬라즈 (Syrah/Shiraz) 100%,16.5,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",1,4,5,5
62,wine,레드,무쏘 메를로,스페인,카사 로호 Casa Rojo,메를로 (Merlot) 100%,13.0,16~18 ℃,"돼지고기, 소고기, 스튜, 비프버거 등과 잘 어울린다.",1,3,4,3
63,wine,레드,뮤리엘 그랑 리제르바,스페인,뮤리엘 그룹 Muriel Group,템프라니요 (Tempranillo) 100%,13.0,16~18 ℃,"로스트 스테이크(소고기, 돼지고기, 양고기), 스모크 치즈, 다크 초콜릿 디저트 등고 잘 어울린다.",1,3,5,3
64,wine,레드,"미션 드 렝고, 뀌베 카베르네 소비뇽",칠레,미션 드 랭고 Vina Misiones de Rengo,"카베르네 소비뇽 (Cabernet Sauvignon) 85%, 시라/쉬라즈 (Syrah/Shiraz) 10%, 카르메네르 (Carmenere) 5%",14.4,15~17 ℃,"쇠고기 엠파나다, 양고기,돼지고기, 강한 풍미의 치즈 및 야생 조류 요리. 다랑어, 연어 등의 기름이 많은 생선류. 로즈마리를 곁들인 렌즈콩 요리, 꼬냑 소스를 겸비한 닭고기 요리 등에 잘 어울린다.",1,3,4,4
65,wine,화이트,"미션, 레이트 하비스트",뉴질랜드,미션 에스테이트 와이너리 Mission Estate Winery,"샤르도네 (Chardonnay) , 리슬링 (Riesling) , 게뷔르츠트라미너 (Gewurztraminer)",11.0,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",5,1,3,1
66,wine,화이트,"미션, 리슬링",뉴질랜드,미션 에스테이트 와이너리 Mission Estate Winery,리슬링 (Riesling) 100%,11.0,8~10 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",1,5,2,1
67,wine,레드,미셸 롤랑 샤또 베르티노 생 뱅상,프랑스,미쉘 롤랑 컬렉션 Michel Rolland Collection,"메를로 (Merlot) 75%, 카베르네 프랑 (Cabernet Franc) 25%",13.0,16~18 ℃,"갈비찜, 불고기, 피자, 파스타, 치즈 등과 잘 어울린다.",1,4,5,4
68,wine,레드,"미켈레 끼아를로, 바르베라 다스티 레 오르메",이탈리아,미켈레 끼아를로 Michele Chiarlo,바르베라 (Barbera) 100%,13.0,16~18 ℃,"피자, 파스타, 치즈 이 외에도 모든 음식들과 잘 어울린다.",1,4,3,3
69,wine,레드,"바네사, 까베르네 쇼비뇽",칠레,비냐 프란시스코 드 아귀레 Vina Francisco de Aguirre,카베르네 소비뇽 (Cabernet Sauvignon) 100%,10.0,11~13 ℃,"고기, 너츠와 잘 어울리며 디저트 혹은 애피타이저 와인으로 손색이 없다.",1,3,3,3
70,wine,레드,"바디아 아 콜티부오노, 키안티 클라시코 리제르바",이탈리아,바디아 아 콜티부오노 Badia a Coltibuono,"산지오베제 (Sangiovese) 90%, 기타 품종 (Other Grapes) 10%",13.0,16~18 ℃,"고급 안심, 등심 스테이크, 그릴에 구운 야채, 바비큐요리, 숙성된 치즈등과 잘 어울린다.",1,4,4,4
71,wine,화이트,"바론 데 발스, 화이트",스페인,비센테 간디아 Vicente Gandia,마카베오 (Macabeo),11.0,8~10 ℃,None,2,4,2,1
72,wine,화이트,"바타시올로, 모스카토 다스티 '보스크 들라 레이'",이탈리아,바타시올로 Batasiolo [Beni di Batasiolo],모스카토 (Moscato ) 100%,5.0,6~8 ℃,"열대과일, 전통적인 크리스마스 디저트 파네토네(panettone) 등과 잘 어울린다.",4,2,2,1
73,wine,레드,"바틱, 까베르네 프랑",슬로베니아,바틱 Batic,카베르네 프랑 (Cabernet Franc) 100%,13.5,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 훈제오리, 파스타, 다양한 치즈 등과 잘 어울린다.",1,4,4,2
74,wine,화이트,"바틱, 레불라",슬로베니아,바틱 Batic,레불라 (Rebula),13.5,11~12 ℃,"흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",1,3,3,1
75,wine,레드,"발데리즈, 발데리즈",스페인,발데리즈 Valderiz,템프라니요 (Tempranillo) 100%,14.5,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",1,3,4,4
76,wine,레드,"베리 브라더스 & 러드, 뽀이약",프랑스,베리 브라더스 & 러드 Berry Bros. & Rudd,"카베르네 소비뇽 (Cabernet Sauvignon) 70%, 메를로 (Merlot) 30%",13.0,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",1,3,4,4
77,wine,스파클링,"베리 브라더스 & 러드, 프로세코",이탈리아,베리 브라더스 & 러드 Berry Bros. & Rudd,글레라 (Glera) 100%,11.0,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",1,3,3,1
78,wine,스파클링,"벨라비스타, 사텐",이탈리아,벨라비스타 Bellavista,샤르도네 (Chardonnay) 100%,12.0,6~8 ℃,"에피타이저, 수프, 야채, 생선초밥, 블루치즈 등",1,4,3,1
79,wine,화이트,벨트악스 트로켄베렌아우스레제,독일,벨트악스 Weltachs,"오르테가 (Ortega) , 알바롱가 (Albalonga) , 훅셀레베 (Huxelrebe)",8.5,6~8 ℃,"케이크, 쿠키, 과일안주, 달콤한 디저트류 등과 잘 어울린다.",5,3,5,1
80,wine,레드,"보데가 세론, 라비아",스페인,보데가 세론 Bodega Cerron,쁘띠 베르도 (Petit Verdot) 100%,14.0,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 양념갈비, 파스타, 한국음식 등과 잘 어울린다.",1,4,5,4
81,wine,레드,"보데가 세론, 레모르디미엔또 틴토",스페인,보데가 세론 Bodega Cerron,"템프라니요 (Tempranillo) , 카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 베르도 (Petit Verdot) , 시라/쉬라즈 (Syrah/Shiraz)",14.0,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",1,3,4,3
82,wine,레드,"보데가 세론, 엘 센티도 데라 비다",스페인,보데가 세론 Bodega Cerron,"카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 베르도 (Petit Verdot)",14.0,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 양념갈비, 파스타, 한국음식 등과 잘 어울린다.",1,3,5,4
83,wine,레드,"보데가 세론, 엘 티엠포 큐",스페인,보데가 세론 Bodega Cerron,모나스트렐 (Monastrell) 100%,13.5,16~18 ℃,"붉은 육류, 스테이크, 그릴요리, 소시지, 불고기, 갈비찜 등 과 잘 어울린다.",1,3,4,3
84,wine,레드,"보데가 세론, 헤라다 '암포라 와인'",스페인,보데가 세론 Bodega Cerron,시라/쉬라즈 (Syrah/Shiraz) 100%,13.0,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 한국음식과 잘 어울린다.",1,3,4,3
85,wine,레드,"보데가 카르첼로, 알티코",스페인,보데가 카르첼로 Bodega Carchelo,시라/쉬라즈 (Syrah/Shiraz) 100%,13.5,16~18 ℃,"비프 스테이크, 양고기 바베큐, 약간 강한 양념으로 조리된 육류, 파스타, 라자냐, 햄 등과 잘 어울린다.",1,3,4,4
86,wine,레드,"보데가스 로메로 디 아빌라 살세도, 포르텐토 크리안자",스페인,보데가스 로메로 디 아빌라 살세도 Bodegas Romero de Avila Salcedo,"템프라니요 (Tempranillo) 85%, 카베르네 소비뇽 (Cabernet Sauvignon) 15%",14.0,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",1,3,3,3
87,wine,레드,"보데가스 무가, 또레 무가",스페인,무가 Muga [Bodegas Muga],"템프라니요 (Tempranillo) 75%, 마주엘로 (Mazuelo) 15%, 그라시아노 (Graciano) 10%",14.0,16~18 ℃,"등심 스테이크, 스테이크 샐러드, 치즈류/ [한식] 바비큐, 양념갈비구이 등과 잘 어울린다.",1,3,4,4
88,wine,화이트,"보데가스 무가, 블랑코",스페인,무가 Muga [Bodegas Muga],"비우라 (Viura) 90%, 말바시아 (Malvasia) 10%",13.0,10~12 ℃,"샐러드, 해산물, 가벼운 에피타이저 / [한식] 보쌈, 삼겹살구이, 두부구이 등과 잘 어울린다.",1,4,3,1
