,중분류,상품명,생산국가,상세정보
wine,화이트,"다리오 프린칙, 리볼라 지알라",이탈리아,"생산자
다리오 프린칙 Dario Princic
국가/생산지역
이탈리아(Italy) > 프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
주요품종
리볼라 지알라 (Ribolla Gialla) 100%
스타일
Northern Italy White
음용온도
14~16 ℃
추천음식
흰살생선, 생선구이, 새우, 해산물, 건육, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다."
wine,화이트,"다리오 프린칙, 야콧",이탈리아,"생산자
다리오 프린칙 Dario Princic
국가/생산지역
이탈리아(Italy) > 프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
주요품종
야콧 (Jakot) 100%
스타일
Northern Italy White
음용온도
14~16 ℃
추천음식
닭고기, 연어, 참치, 다양한 치즈, 리조또, 파스타 등과 잘 어울린다."
wine,레드,"다리오 프린칙, 카베르네 소비뇽",이탈리아,"생산자
다리오 프린칙 Dario Princic
국가/생산지역
이탈리아(Italy) > 프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) 100%
스타일
Northern Italy Red
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다."
wine,화이트,"다리오 프린칙, 트레베즈 리제르바",이탈리아,"생산자
다리오 프린칙 Dario Princic
국가/생산지역
이탈리아(Italy) > 프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
주요품종
샤르도네 (Chardonnay) , 소비뇽 블랑 (Sauvignon Blanc) , 피노 그리지오 (Pinot Grigio) , 피노 비앙코 (Pinot Bianco)
스타일
Northern Italy White
음용온도
14~16 ℃
추천음식
돼지고기, 삼겹살, 베이컨, 치킨, 피자, 파스타, 다양한 치즈, 동남아요리, 아시아요리, 전, 편육, 한국요리 등과 잘 어울린다."
wine,화이트,"다리오 프린칙, 피노 그리지오",이탈리아,"생산자
다리오 프린칙 Dario Princic
국가/생산지역
이탈리아(Italy) > 프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
주요품종
피노 그리지오 (Pinot Grigio) 100%
스타일
Northern Italy White
음용온도
14~16 ℃
추천음식
해산물, 조개구이, 새우, 야채, 버섯, 튀김, 아시아요리 등과 잘 어울린다."
wine,레드,"더 프리즈너, 나파 밸리 레드 블렌드",미국,"생산자
더 프리즈너 와인 컴퍼니 The Prisoner Wine Company
국가/생산지역
미국(U.S.A) > 캘리포니아(California)
주요품종
진판델 (Zinfandel) , 카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 시라 (Petite Sirah) , 샤르보노 (Charbono)
등급
California AVA
음용온도
15~17 ℃
추천음식
양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.
수입사
신동와인   "
wine,레드,"더치 홉, 쉬라",남아프리카,"생산자
더치 홉 와이너리 Dutch Hope Winery
국가/생산지역
남아프리카(South Africa)
주요품종
시라/쉬라즈 (Syrah/Shiraz) , 무르베드르 (Mourvedre)
스타일
South African Syrah
알코올
14~15 %
음용온도
16~18 ℃
추천음식
소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.
수입사
모노드림   "
wine,화이트,"더치 홉, 슈냉 블랑",남아프리카,"생산자
더치 홉 와이너리 Dutch Hope Winery
국가/생산지역
남아프리카(South Africa)
주요품종
슈냉 블랑 (Chenin Blanc) , 비오니에 (Viognier)
스타일
South African Chenin Blanc
알코올
13~14 %
음용온도
8~10 ℃
추천음식
해산물, 새우, 문어숙회, 다양한 치즈, 건육 등과 잘 어울린다.
수입사
모노드림   "
wine,레드,"델리카토, 667 피노 누아",미국,"생산자
델리카토 패밀리 빈야드 Delicato Family Vineyards - DFV
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 몬터레이 카운티(Monterey County) > 몬터레이(Monterey)
주요품종
피노 누아 (Pinot Noir) 100%
스타일
Californian Pinot Noir
등급
Monterey AVA
알코올
14.5 %
음용온도
16~18 ℃
추천음식
연어, 파마산 치즈 및 구운 양고기와 잘 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 '피노 누아' BEST10 와인

*2012 빈티지: Sunset International Wine Competition Gold, Orange County Fair Wine Competition Gold, Cosumer Wine Awards Gold & 92점
*2014 빈티지: Wine Enthusiast 88점, 2016 Mundus Vini Wine Competition – 금메달 및 Best of Show US Red 선정
*2015 빈티지: Wine Enthusiast 89점,Mundus Vini Wine Competition Gold Best of Shoe US Red, Toast of the Coast Wine Competition 94점, Forbes Paltinum List 91점

*프랑스에서 유래된 유명한 포도 품종들의 클론을 캘리포니아 떼루아와 접목된 품종들의 개성을 표현한 시리즈




수입사
레뱅   "
wine,스파클링,"도넬리 비니, 볼리치노 스파클링 레드와인",이탈리아,"생산자
도넬리 비니 Donelli Vini S.P.A.
국가/생산지역
이탈리아(Italy) > 깜빠니아(Campania)
주요품종
산지오베제 (Sangiovese) , 람브루스코 (Lambrusco)
알코올
10~11 %
음용온도
8~10 ℃
수입사
모노드림   "
wine,레드,도마네 고벨스버그 츠바이겔트,오스트리아,"생산자
슐로스 고벨스버그 Schloss Gobelsburg
국가/생산지역
오스트리아(Austria)
주요품종
츠바이겔트 (Zweigelt) 100%
알코올
12.5 %
음용온도
15~17 ℃
추천음식
중국요리, 간편한 육류요리, 약간 스파이시한 한식, 볶음요리 등과 잘 어울린다."
wine,화이트,"도멘 갸데, 레 뻬리에르 모노폴",프랑스,"생산자
도멘 갸데 Domaine Gadias
국가/생산지역
프랑스(France) > 루아르(Loire)
주요품종
믈롱 드 부르고뉴 (Melon de Bourgogne) 100%
알코올
12~13 %
음용온도
8~10 ℃
추천음식
스시, 회, 굴, 조개, 해산물, 생선구이, 조개구이, 조개찜, 숙성 치즈 등과 잘 어울린다.
기타정보
*2019 Korea Wine Challenge Silver
수입사
유와인(주)   "
wine,화이트,"도멘 그로 프레르 에 수르, 부르고뉴 오뜨 꼬뜨 드 뉘 블랑",프랑스,"생산자
도멘 그로 프레르 에 수르 Domaine Gros Frere et Soeur
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 뉘(Côte de Nuits) > 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits)
주요품종
샤르도네 (Chardonnay) 100%
등급
Bourgogne Hautes Côtes de Nuits AOC(AOP)
음용온도
10~12 ℃
추천음식
훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다."
wine,레드,"도멘 드 까밀 지로, 부르고뉴 피노 누아",프랑스,"생산자
도멘 드 까밀 지로 Domaine de Camille Giroud
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne)
주요품종
피노 누아 (Pinot Noir) 100%
등급
Bourgogne AOC(AOP)
음용온도
15~17 ℃
추천음식
로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다."
wine,레드,"도멘 라퐁드 노틀담, 라스토",프랑스,"생산자
도멘 라퐁 드 노틀담 Domaine La Font de Notre Dame
국가/생산지역
프랑스(France) > 론(Rhone) > 꼬뜨 뒤 론(Côtes du Rhone) > 라스또(Rasteau)
주요품종
그르나슈 (Grenache) , 시라/쉬라즈 (Syrah/Shiraz) , 무르베드르 (Mourvedre) , 쌩쏘 (Cinsault)
스타일
Southern Rhône Red
등급
Rasteau AOC(AOP)
숙성
전통적인 콘크리트 통에서 발효되고 프렌치 오크통에서 12개월을 숙성된 후 출고.
알코올
14~15 %
음용온도
16~18 ℃
추천음식
소고기, 스테이크, 불고기, 양꼬치, 족발, 한국음식, 피자, 햄버거 등과 잘 어울린다.
수입사
모노드림   "
wine,레드,도멘 로베르 시뤼귀에 부르고뉴,프랑스,"생산자
도멘 로베르 시뤼귀에 Domaine Robert Sirugue
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne)
주요품종
피노 누아 (Pinot Noir) 100%
등급
Bourgogne AOC(AOP)
음용온도
15~17 ℃
추천음식
로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 콩테, 다양한 치즈와 잘 어울린다."
wine,화이트,"도멘 루 페레 에 피스, 생-토뱅 자디",프랑스,"생산자
도멘 루 페레 에 피스 Domaine Roux Pere & Fils
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 본(Côte de Beaune) > 생-오방(Saint-Aubin)
주요품종
샤르도네 (Chardonnay) 100%
알코올
13~14 %
음용온도
8~10 ℃
추천음식
훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.
수입사
에노테카코리아   "
wine,레드,"도멘 마샹 프레르, 샹볼 뮈지니 프리미에르 크뤼 레 성띠에",프랑스,"생산자
도멘 마샹 프레르 Domaine Marchand Freres
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 뉘(Côte de Nuits) > 샹볼 뮈지니(Chambolle Musigny)
주요품종
피노 누아 (Pinot Noir) 100%
알코올
13 %
음용온도
15~17 ℃
추천음식
가금류, 치즈
기타정보
*2012 빈티지: Wine Spectator 94점"
wine,화이트,"도멘 뮈르뮈리움, 루싼느",프랑스,"생산자
도멘 뮈르뮈리움 Domaine Mur-Mur-Ium
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France)
주요품종
루산느 (Roussanne) 100%
등급
Vaucluse IGP
알코올
14 %
음용온도
11~13 ℃
추천음식
돼지고기, 바비큐, 참치, 연어, 치킨, 다양한 치즈, 하몽, 프로슈토, 살라미, 파스타 등과 잘 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 '구대륙 화이트' BEST10 와인
수입사
더블유에스통상   "
wine,레드,"도멘 미쉘 그로, 본 로마네 프르미에 크뤼 '끌로 드 레아' 모노폴",프랑스,"생산자
도멘 미쉘 그로 Domaine Michel Gros
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 뉘(Côte de Nuits) > 본-로마네(Vosne-Romanee)
주요품종
피노 누아 (Pinot Noir) 100%
등급
Vosne-Romanée 1er Cru AOC(AOP), 'Clos des Réas'
알코올
13~14 %
음용온도
14~16 ℃
추천음식
가금류요리, 붉은 생선, 프와그라, 부드러운 치즈등과 잘 어울린다.
기타정보
*신의물방울와인 - 9권
*2016 빈티지: Gilbert & Gaillard 97점, Tim Atkin 91점
*Decanter Rating - 5 stars
*International Wine Challenge - Gold
*Vosne Romanees Trophy
수입사
케이제이무역   "
wine,레드,"도멘 자끄 까슈, 부르고뉴 후제 오 꼬뜨 드 뉘",프랑스,"생산자
도멘 자끄 까슈 Domaine Jacques Cacheux
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 뉘(Côte de Nuits) > 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits)
주요품종
피노 누아 (Pinot Noir) 100%
알코올
12.5 %
음용온도
18 ℃
추천음식
로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다."
wine,레드,도멘 페르드리 에세조 그랑 크뤼,프랑스,"생산자
도메인 페르드리 Domaine Perdrix
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 뉘(Côte de Nuits) > 본-로마네(Vosne-Romanee)
주요품종
피노 누아 (Pinot Noir)
등급
Échezeaux Grand Cru AOC(AOP)
알코올
12.5 %
음용온도
16~18 ℃
추천음식
로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.
기타정보
미슐랭 3스타 '로부숑 오 돔 (Robuchon au Dome, Macau)' 리스팅"
wine,화이트,두게싸 리아 모스카토 다스티,이탈리아,"생산자
카페타 [프란체스코 카페타 - 발비 소프라니] Capetta [Francesco Capetta - Balbi Soprani]
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte) > 아스티(Asti)
주요품종
모스카토 (Moscato ) 100%
스타일
Italian Asti
알코올
5~6 %
음용온도
6~8 ℃
추천음식
부드러운 치즈와 커피향이 일품인 티라미수 케이크나 달콤한 과일, 특히 망고나 멜론과 같은 여름과일과 환상적인 여운을 남긴다.
수입사
하이트진로   "
wine,레드,"뚜아 리따, 레디가피",이탈리아,"생산자
투아 리따 Tua Rita
국가/생산지역
이탈리아(Italy) > 토스카나(Toscana)
주요품종
메를로 (Merlot) 100%
등급
Toscana IGT(IGP)
알코올
15 %
음용온도
16~18 ℃
추천음식
대부분의 파스타, 햄, 소시지, 치즈, 붉은 육류, 흰살 육류 등과 잘 어울린다.
기타정보
신의물방울와인 - 2권"
wine,레드,"라 셰또, 장 발몽 메를로",프랑스,"생산자
라셰또 [라세또] Lacheteau [La Cheteau]
국가/생산지역
프랑스(France) > 서던 프랑스(Southern France) > 랑그독 루씨용(Languedoc Roussillon)
주요품종
메를로 (Merlot) 100%
스타일
Languedoc-Roussillon Red
등급
Pays d'Oc IGP
알코올
13~14 %
음용온도
16~18 ℃
추천음식
안심 스테이크, 타임 허브 등으로 맛을 낸 토끼요리, 송아지 찜 요리, 치즈 등과 잘 어울린다.
기타정보
*일본 소믈리에 협회 주최 300개의 밸류와인 블라인드 테이스팅에서 1위 획득
*일본 월간정보지 『一個人』 와인특집 '가장 맛있는 밸류 와인' 브랜드
수입사
(주)와이넬   "
wine,레드,라몬 빌바오 그랑 리제르바,스페인,"생산자
라몬 빌바오 Ramon Bilbao
국가/생산지역
스페인(Spain) > 리오하(Rioja)
주요품종
템프라니요 (Tempranillo) 90%, 그라시아노 (Graciano) 5%, 가르나차 (Garnacha) 5%
알코올
14~15 %
음용온도
16~18 ℃
추천음식
붉은 고기, 숙성 치즈, 바비큐, 야생 고기 등과 잘 어울린다.
기타정보
*The Dallas Wine Competition 2014 Silver
*Mundus Vini 2013 Gold
수입사
베리타스비노   "
wine,화이트,"라스트 스탠드, 샤도네이",호주,"생산자
더 라스트 스탠드 와와너리 The last stand Winery
국가/생산지역
호주(Australia) > 빅토리아(Victoria)
주요품종
샤르도네 (Chardonnay)
스타일
Australian Chardonnay
양조
온도 조절을 잘 시킨 스테인리스주조에서 발효.
알코올
13~14 %
음용온도
8~10 ℃
추천음식
가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.
수입사
모노드림   "
wine,레드,"라스트 스탠드, 쉬라즈",호주,"생산자
더 라스트 스탠드 와와너리 The last stand Winery
국가/생산지역
호주(Australia) > 빅토리아(Victoria)
주요품종
시라/쉬라즈 (Syrah/Shiraz)
스타일
Australian Shiraz
양조
밤 수확. 한 탄닌을 추출하지 않기 위 해 22 - 25ºC로 유지되는 온도 조절 탱크에서 발효
알코올
14~15 %
음용온도
16~18 ℃
추천음식
소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.
수입사
모노드림   "
wine,레드,"라운드 폰드, 러더포드 카베르네 소비뇽",미국,"생산자
라운드 폰드 에스테이트 Round Pond Estate
국가/생산지역
미국(U.S.A) > 캘리포니아(California) > 나파 카운티(Napa County) > 나파 밸리(Napa Valley)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon) , 쁘띠 베르도 (Petit Verdot) , 말벡 (Malbec) , 메를로 (Merlot)
스타일
Napa Valley Bordeaux Blend
등급
Napa Valley AVA
숙성
18개월 간 프렌치 오크에서 숙성, 뉴 오크 비율은 60%
음용온도
16~18 ℃
추천음식
붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다."
wine,화이트,"로까 세리나, 모스카토 다스티",이탈리아,"생산자
로카 세리나 Rocca Cerrina
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte) > 아스티(Asti)
주요품종
모스카토 (Moscato ) 100%
스타일
Italian Asti
알코올
6~7 %
음용온도
8~10 ℃
추천음식
식후에 디저트와 함께 또는 과일(특히 과일 셀러드)과 완벽한 조화를 이룸. 또한 아이스크림 또는 친구들과 대화의 매개체로서 안주 없이 와인 그 자체만 마셔도 좋다.
수입사
금양인터내셔날   "
wine,레드,"로멘 뒤베르네, 꼬드 뒤 론 비에이 비뉴",프랑스,"생산자
로멘 뒤베르네 Romain Duvernay
국가/생산지역
프랑스(France) > 론(Rhone) > 꼬뜨 뒤 론(Côtes du Rhone)
주요품종
그르나슈 (Grenache) 85%, 시라/쉬라즈 (Syrah/Shiraz) 15%
스타일
Southern Rhône Red
등급
Côtes du Rhône AOC(AOP)
알코올
13.5 %
음용온도
16~18 ℃
추천음식
안심 스테이크, 바비큐 폭립, 송아지와 폴렌타, 통감자 구이와 잘 어울린다.
기타정보
*2010 빈티지: Gibert Et Gaillard - 85점
*2012 빈티지: Robert Parker 89점

*포도나무 수령 50년 이상
*와인21닷컴 기자들이 선정한 '나만 알고 싶은 숨겨진 보물' BEST10 와인
수입사
엘비   "
wine,레드,"루이 라뚜르, 알록스 꼬르똥",프랑스,"생산자
루이 라뚜르 Louis Latour
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne) > 꼬뜨 드 본(Côte de Beaune) > 알록스-꼬르통(Aloxe-Corton)
주요품종
피노 누아 (Pinot Noir) 100%
등급
Aloxe-Corton AOC(AOP)
알코올
13.5 %
음용온도
15~17 ℃
추천음식
각종 육류요리, 버섯요리, 양고기 등과 잘 어울린다."
wine,레드,"루트 코즈, 레드 와인",미국,"생산자
루트 코즈 와이너리 Root Cause Winery
국가/생산지역
미국(U.S.A) > 캘리포니아(California)
주요품종
메를로 (Merlot) , 진판델 (Zinfandel) , 쁘띠 베르도 (Petit Verdot) , 시라/쉬라즈 (Syrah/Shiraz)
스타일
Californian Red Blend
알코올
13~14 %
음용온도
16~18 ℃
수입사
모노드림   "
wine,화이트,"루트 코즈, 샤도네이",미국,"생산자
루트 코즈 와이너리 Root Cause Winery
국가/생산지역
미국(U.S.A) > 캘리포니아(California)
주요품종
샤르도네 (Chardonnay)
스타일
Californian Chardonnay
알코올
13~14 %
음용온도
10~12 ℃
수입사
모노드림   "
wine,레드,"루트 코즈, 카베르네 소비뇽",미국,"생산자
루트 코즈 와이너리 Root Cause Winery
국가/생산지역
미국(U.S.A) > 캘리포니아(California)
주요품종
카베르네 소비뇽 (Cabernet Sauvignon)
스타일
Californian Cabernet Sauvignon
알코올
13~14 %
음용온도
16~18 ℃
수입사
모노드림   "
wine,스파클링,"뤼나르, 브뤼",프랑스,"생산자
뤼나르 Ruinart
국가/생산지역
프랑스(France) > 샹빠뉴(Champagne)
주요품종
피노 누아 (Pinot Noir) , 샤르도네 (Chardonnay) , 피노 뮈니에 (Pinot Meunier)
등급
Champagne AOC(AOP)
음용온도
6~8 ℃
추천음식
스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다."
wine,레드,"르네 부비에, 부르고뉴 루즈 '몽트르 뀔'",프랑스,"생산자
르네 부비에 Domaine Rene Bouvier
국가/생산지역
프랑스(France) > 부르고뉴(Bourgogne)
주요품종
피노 누아 (Pinot Noir) 100%
스타일
Burgundy Red
등급
Bourgogne AOC(AOP)
음용온도
15~17 ℃
추천음식
붉은육류, 로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 '피노누아' BEST10 와인
*와인21닷컴 기자들이 선정한 '2015 BEST OF BEST' 와인
수입사
더블유에스통상   "
wine,레드,"리베토, 바롤로 세라룽가 달바",이탈리아,"생산자
리베토 Rivetto
국가/생산지역
이탈리아(Italy) > 피에몬테(Piemonte) > 바롤로(Barolo)
주요품종
네비올로 (Nebbiolo) 100%
스타일
Italian Nebbiolo
등급
Barolo DOCG(DOP)
음용온도
16~18 ℃
추천음식
트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.
기타정보
*2015 빈티지: Wine Enthusiast 93점, DWWA(Decanter) 91점
수입사
더블유에스통상   "
wine,기타,"리빙스톤, 상그리아",미국,"생산자
리빙스톤 Livingstone
국가/생산지역
미국(U.S.A)
주요품종
블렌드 (Blend )
음용온도
6~8 ℃
추천음식
파티에서의 바비큐 요리와 강한 소스를 감미한 해산물 요리와 완벽한 조화를 이룬다."
wine,레드,"마라미에로, 인페리",이탈리아,"생산자
마라미에로 Marramiero
국가/생산지역
이탈리아(Italy) > 아브루쪼(Abruzzo)
주요품종
몬테풀치아노 (Montepulciano) 100%
등급
Montepulciano d'Abruzzo DOC(DOP)
음용온도
17~19 ℃
추천음식
마늘과 올리브로 요리한 양고기, 허브가 가미된 리코타 라비올리 등과 잘 어울린다.
기타정보
*2009 빈티지: 2013 International Wine Challenge 금메달
*1999 빈티지: 2004 Concours Mondial Bruxelles 금상
*1998 빈티지: 2003 Concours Mondial Bruxelles 금상, 2002 International Wine Challenge London 금상2010 Korea Wine Challenge Trophy 수상 Best Italian Red Wine
*1997 빈티지: 2001 Concours Mondial Bruxelles 최고금상, 2002 Viniplus AIS Lombardia 금상
*1997 Expofood Milano 금메달
*1999 Vinitaly 금메달
*2010 Korea Wine Challenge Trophy, Best Italian Red Wine
수입사
(주)와이넬   "
wine,화이트,마레농 그랑 마레농 블랑,프랑스,"생산자
마레농 Marrenon [Cellier de Marrenon]
국가/생산지역
프랑스(France) > 론(Rhone) > 꼬뜨 뒤 뤼베롱(Côtes du Luberon)
주요품종
그르나슈 블랑 (Grenache Blanc) , 베르멘티노 (Vermentino) , 루산느 (Roussanne)
스타일
Southern Rhône White
알코올
14 %
음용온도
10~12 ℃
추천음식
치킨, 바비큐, 연어, 참치, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.
기타정보
*와인21닷컴 기자들이 선정한 '구대륙 화이트' BEST10 와인
*와인21닷컴 기자들이 선정한 '2016 BEST OF BEST' 와인
*2019 빈티지: Mundus Vini 은메달
*2018 빈티지: Mondial de Bruxelles Grand Gold
수입사
나라셀라   "
